gene,RF_repeat1,RF_repeat2,RF_repeat3,XGB_repeat1,XGB_repeat2,XGB_repeat3,near_impact_cnt
ENSG00000203722,0.0,0.0,1.0,1.0,1.0,1.0,4.0
ENSG00000165029,0.0,1.0,0.0,1.0,1.0,1.0,4.0
ENSG00000172554,0.0,1.0,0.0,1.0,1.0,1.0,4.0
ENSG00000137766,1.0,0.0,0.0,1.0,1.0,1.0,4.0
ENSG00000062096,1.0,0.0,1.0,1.0,0.0,1.0,4.0
ENSG00000131477,1.0,0.0,1.0,2.0,0.0,0.0,4.0
ENSG00000110090,0.0,1.0,0.0,2.0,0.0,1.0,4.0
ENSG00000232653,0.0,0.0,0.0,1.0,2.0,1.0,4.0
ENSG00000148795,0.0,1.0,0.0,1.0,1.0,1.0,4.0
ENSG00000143772,0.0,1.0,0.0,1.0,1.0,1.0,4.0
ENSG00000146648,1.0,0.0,1.0,1.0,0.0,1.0,4.0
ENSG00000182963,0.0,1.0,1.0,0.0,0.0,2.0,4.0
ENSG00000112619,1.0,0.0,0.0,1.0,1.0,1.0,4.0
ENSG00000145863,0.0,0.0,0.0,1.0,1.0,1.0,3.0
ENSG00000159403,0.0,0.0,0.0,1.0,1.0,1.0,3.0
ENSG00000124205,0.0,0.0,0.0,1.0,1.0,1.0,3.0
ENSG00000174292,0.0,0.0,0.0,1.0,1.0,1.0,3.0
ENSG00000186918,0.0,0.0,0.0,0.0,2.0,1.0,3.0
ENSG00000117595,0.0,0.0,0.0,1.0,1.0,1.0,3.0
ENSG00000139304,0.0,0.0,0.0,1.0,1.0,1.0,3.0
ENSG00000188266,0.0,0.0,0.0,2.0,1.0,0.0,3.0
ENSG00000110723,0.0,0.0,0.0,2.0,0.0,1.0,3.0
ENSG00000169715,0.0,0.0,0.0,2.0,1.0,0.0,3.0
ENSG00000164106,0.0,0.0,0.0,0.0,3.0,0.0,3.0
ENSG00000153071,0.0,0.0,0.0,1.0,1.0,1.0,3.0
ENSG00000130368,0.0,0.0,0.0,1.0,1.0,1.0,3.0
ENSG00000253457,0.0,0.0,0.0,1.0,1.0,1.0,3.0
ENSG00000121578,0.0,0.0,0.0,1.0,1.0,1.0,3.0
ENSG00000031081,0.0,0.0,0.0,1.0,1.0,1.0,3.0
ENSG00000205639,0.0,0.0,0.0,1.0,2.0,0.0,3.0
ENSG00000136011,0.0,0.0,0.0,1.0,1.0,1.0,3.0
ENSG00000239282,0.0,0.0,0.0,0.0,3.0,0.0,3.0
ENSG00000007866,0.0,0.0,0.0,1.0,1.0,1.0,3.0
ENSG00000136297,0.0,0.0,0.0,1.0,1.0,1.0,3.0
ENSG00000131379,0.0,0.0,0.0,1.0,1.0,1.0,3.0
ENSG00000205364,0.0,0.0,0.0,1.0,1.0,1.0,3.0
ENSG00000198075,0.0,0.0,0.0,1.0,1.0,1.0,3.0
ENSG00000139734,0.0,0.0,0.0,1.0,1.0,1.0,3.0
ENSG00000170959,0.0,0.0,0.0,1.0,1.0,1.0,3.0
ENSG00000162692,0.0,0.0,0.0,1.0,1.0,1.0,3.0
ENSG00000068976,0.0,0.0,0.0,1.0,1.0,1.0,3.0
ENSG00000072182,0.0,0.0,0.0,1.0,1.0,1.0,3.0
ENSG00000143891,0.0,0.0,1.0,1.0,0.0,1.0,3.0
ENSG00000135838,0.0,0.0,0.0,1.0,2.0,0.0,3.0
ENSG00000162843,0.0,1.0,0.0,0.0,2.0,0.0,3.0
ENSG00000181019,0.0,1.0,1.0,0.0,1.0,0.0,3.0
ENSG00000139988,1.0,1.0,1.0,0.0,0.0,0.0,3.0
ENSG00000100341,0.0,1.0,0.0,0.0,1.0,1.0,3.0
ENSG00000136114,0.0,1.0,0.0,1.0,0.0,1.0,3.0
ENSG00000154760,0.0,1.0,0.0,1.0,1.0,0.0,3.0
ENSG00000162063,1.0,0.0,1.0,0.0,0.0,1.0,3.0
ENSG00000066697,1.0,0.0,1.0,1.0,0.0,0.0,3.0
ENSG00000105186,0.0,1.0,0.0,1.0,1.0,0.0,3.0
ENSG00000164292,0.0,1.0,1.0,0.0,1.0,0.0,3.0
ENSG00000163884,0.0,1.0,1.0,0.0,1.0,0.0,3.0
ENSG00000172785,1.0,0.0,0.0,0.0,1.0,1.0,3.0
ENSG00000122729,0.0,1.0,1.0,0.0,0.0,1.0,3.0
ENSG00000178445,0.0,1.0,0.0,0.0,2.0,0.0,3.0
ENSG00000137491,0.0,0.0,0.0,0.0,1.0,1.0,2.0
ENSG00000121742,0.0,0.0,0.0,1.0,1.0,0.0,2.0
ENSG00000205730,0.0,0.0,0.0,1.0,1.0,0.0,2.0
ENSG00000151715,0.0,0.0,0.0,1.0,1.0,0.0,2.0
ENSG00000123374,0.0,0.0,0.0,0.0,1.0,1.0,2.0
ENSG00000183850,0.0,1.0,0.0,1.0,0.0,0.0,2.0
ENSG00000130413,0.0,0.0,0.0,1.0,0.0,1.0,2.0
ENSG00000160691,0.0,0.0,0.0,1.0,0.0,1.0,2.0
ENSG00000180878,0.0,0.0,0.0,1.0,0.0,1.0,2.0
ENSG00000067177,0.0,0.0,0.0,1.0,0.0,1.0,2.0
ENSG00000139800,0.0,0.0,0.0,1.0,0.0,1.0,2.0
ENSG00000146574,0.0,0.0,0.0,1.0,1.0,0.0,2.0
ENSG00000111785,0.0,0.0,0.0,0.0,1.0,1.0,2.0
ENSG00000213694,0.0,0.0,0.0,0.0,1.0,1.0,2.0
ENSG00000166268,0.0,1.0,0.0,1.0,0.0,0.0,2.0
ENSG00000125148,0.0,1.0,0.0,0.0,1.0,0.0,2.0
ENSG00000108465,0.0,0.0,0.0,1.0,1.0,0.0,2.0
ENSG00000185615,0.0,0.0,0.0,1.0,1.0,0.0,2.0
ENSG00000137509,0.0,1.0,0.0,0.0,1.0,0.0,2.0
ENSG00000102890,0.0,0.0,0.0,1.0,0.0,1.0,2.0
ENSG00000125618,0.0,0.0,0.0,1.0,1.0,0.0,2.0
ENSG00000117228,0.0,0.0,0.0,0.0,1.0,1.0,2.0
ENSG00000147394,0.0,0.0,0.0,1.0,0.0,1.0,2.0
ENSG00000237172,0.0,0.0,0.0,1.0,1.0,0.0,2.0
ENSG00000137198,0.0,0.0,1.0,0.0,0.0,1.0,2.0
ENSG00000128604,0.0,0.0,0.0,1.0,1.0,0.0,2.0
ENSG00000107438,0.0,0.0,0.0,1.0,1.0,0.0,2.0
ENSG00000079482,0.0,0.0,0.0,0.0,2.0,0.0,2.0
ENSG00000120907,0.0,0.0,0.0,0.0,1.0,1.0,2.0
ENSG00000174943,0.0,0.0,0.0,0.0,1.0,1.0,2.0
ENSG00000164379,0.0,0.0,0.0,0.0,1.0,1.0,2.0
ENSG00000081277,0.0,0.0,0.0,0.0,1.0,1.0,2.0
ENSG00000164099,0.0,0.0,0.0,0.0,1.0,1.0,2.0
ENSG00000106351,0.0,0.0,0.0,0.0,1.0,1.0,2.0
ENSG00000186765,0.0,0.0,0.0,0.0,1.0,1.0,2.0
ENSG00000133805,0.0,0.0,0.0,0.0,1.0,1.0,2.0
ENSG00000107738,0.0,0.0,1.0,0.0,0.0,1.0,2.0
ENSG00000095637,0.0,0.0,0.0,0.0,1.0,1.0,2.0
ENSG00000144229,0.0,0.0,0.0,0.0,1.0,1.0,2.0
ENSG00000138798,0.0,0.0,0.0,0.0,1.0,1.0,2.0
ENSG00000269067,0.0,0.0,0.0,0.0,2.0,0.0,2.0
ENSG00000117592,0.0,0.0,0.0,0.0,2.0,0.0,2.0
ENSG00000105136,0.0,0.0,0.0,0.0,1.0,1.0,2.0
ENSG00000134042,0.0,0.0,0.0,0.0,2.0,0.0,2.0
ENSG00000164120,0.0,0.0,0.0,0.0,2.0,0.0,2.0
ENSG00000262576,0.0,0.0,0.0,0.0,2.0,0.0,2.0
ENSG00000104325,0.0,0.0,0.0,0.0,2.0,0.0,2.0
ENSG00000172493,0.0,0.0,0.0,0.0,2.0,0.0,2.0
ENSG00000079819,1.0,0.0,0.0,0.0,0.0,1.0,2.0
ENSG00000121716,0.0,0.0,0.0,0.0,2.0,0.0,2.0
ENSG00000148357,0.0,0.0,0.0,0.0,2.0,0.0,2.0
ENSG00000184227,0.0,0.0,0.0,0.0,2.0,0.0,2.0
ENSG00000165124,0.0,0.0,0.0,0.0,2.0,0.0,2.0
ENSG00000134222,0.0,0.0,0.0,0.0,2.0,0.0,2.0
ENSG00000185736,1.0,0.0,0.0,0.0,1.0,0.0,2.0
ENSG00000113296,1.0,0.0,0.0,1.0,0.0,0.0,2.0
ENSG00000065060,0.0,0.0,0.0,1.0,1.0,0.0,2.0
ENSG00000145703,0.0,0.0,0.0,1.0,0.0,1.0,2.0
ENSG00000197479,0.0,0.0,0.0,1.0,0.0,1.0,2.0
ENSG00000103852,0.0,1.0,0.0,0.0,1.0,0.0,2.0
ENSG00000013725,0.0,0.0,0.0,1.0,0.0,1.0,2.0
ENSG00000137462,0.0,1.0,0.0,0.0,1.0,0.0,2.0
ENSG00000223443,0.0,0.0,0.0,1.0,1.0,0.0,2.0
ENSG00000188234,0.0,0.0,0.0,1.0,0.0,1.0,2.0
ENSG00000241370,0.0,0.0,0.0,1.0,1.0,0.0,2.0
ENSG00000143819,0.0,1.0,0.0,0.0,1.0,0.0,2.0
ENSG00000142207,0.0,0.0,0.0,1.0,1.0,0.0,2.0
ENSG00000049246,0.0,1.0,0.0,0.0,1.0,0.0,2.0
ENSG00000174123,0.0,1.0,0.0,1.0,0.0,0.0,2.0
ENSG00000165821,0.0,1.0,1.0,0.0,0.0,0.0,2.0
ENSG00000188803,0.0,0.0,0.0,1.0,1.0,0.0,2.0
ENSG00000148488,0.0,0.0,0.0,1.0,0.0,1.0,2.0
ENSG00000258484,0.0,1.0,0.0,1.0,0.0,0.0,2.0
ENSG00000144908,0.0,1.0,0.0,0.0,1.0,0.0,2.0
ENSG00000219200,0.0,0.0,0.0,1.0,0.0,1.0,2.0
ENSG00000205221,0.0,0.0,0.0,1.0,0.0,1.0,2.0
ENSG00000112769,0.0,0.0,0.0,1.0,1.0,0.0,2.0
ENSG00000196793,0.0,0.0,0.0,1.0,0.0,1.0,2.0
ENSG00000163297,0.0,1.0,0.0,0.0,1.0,0.0,2.0
ENSG00000185883,0.0,0.0,1.0,1.0,0.0,0.0,2.0
ENSG00000108448,0.0,0.0,0.0,1.0,1.0,0.0,2.0
ENSG00000047457,0.0,0.0,1.0,0.0,1.0,0.0,2.0
ENSG00000174652,0.0,1.0,0.0,0.0,0.0,1.0,2.0
ENSG00000143458,0.0,0.0,0.0,1.0,1.0,0.0,2.0
ENSG00000197647,0.0,0.0,0.0,1.0,1.0,0.0,2.0
ENSG00000075420,0.0,0.0,1.0,0.0,1.0,0.0,2.0
ENSG00000068079,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000069974,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000137804,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000196169,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000130303,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000196155,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000253485,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000241852,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000182601,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000162576,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000137497,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000011465,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000115414,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000106034,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000118729,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000164761,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000154310,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000088826,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000162068,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000164904,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000162004,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000185988,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000165689,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000171105,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000135637,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000160352,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000115155,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000120337,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000230054,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000233757,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000178222,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000143994,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000240230,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000260729,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000149571,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000185669,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000135046,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000170876,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000119471,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000114547,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000166035,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000072952,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000103966,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000185519,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000141736,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000135245,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000204520,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000181045,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000143882,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000186777,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000006062,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000183397,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000178297,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000235961,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000177666,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000178150,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000178342,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000116157,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000254726,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000138823,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000203760,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000087842,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000188707,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000143622,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000103175,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000143631,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000185885,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000036448,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000228696,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000177182,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000206432,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000196912,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000160588,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000145736,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000064199,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000108433,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000050393,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000168246,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000109501,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000136044,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000122025,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000196549,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000196873,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000158019,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000010319,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000176927,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000115844,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000224940,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000259511,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000163975,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000197261,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000174371,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000168594,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000123243,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000102312,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000066382,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000184999,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000172137,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000188039,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000154188,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000187838,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000170779,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000154319,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000143603,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000144730,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000155324,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000175895,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000166483,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000198721,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000135272,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000221883,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000125122,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000169313,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000088053,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000179532,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000179846,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000149573,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000168589,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000168309,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000086758,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000178202,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000110628,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000204920,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000020256,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000129351,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000137809,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000165072,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000169946,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000163638,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000136111,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000162654,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSG00000166455,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000175567,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000129474,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ENSG00000086991,0.0,0.0,0.0,1.0,0.0,0.0,1.0
ENSG00000134574,0.0,0.0,0.0,1.0,0.0,0.0,1.0
ENSG00000142627,0.0,0.0,0.0,1.0,0.0,0.0,1.0
ENSG00000168140,0.0,0.0,0.0,1.0,0.0,0.0,1.0
ENSG00000206077,0.0,0.0,0.0,1.0,0.0,0.0,1.0
ENSG00000160284,0.0,0.0,0.0,1.0,0.0,0.0,1.0
ENSG00000168792,0.0,0.0,0.0,1.0,0.0,0.0,1.0
ENSG00000173040,0.0,0.0,0.0,1.0,0.0,0.0,1.0
ENSG00000159423,0.0,0.0,0.0,1.0,0.0,0.0,1.0
ENSG00000178623,0.0,0.0,0.0,1.0,0.0,0.0,1.0
ENSG00000174332,0.0,0.0,0.0,1.0,0.0,0.0,1.0
ENSG00000105732,0.0,0.0,0.0,1.0,0.0,0.0,1.0
